framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,1024,0.01179
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,2048,0.01164
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,4096,0.01172
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,8192,0.01197
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,16384,0.01248
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,32768,0.012720000000000002
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,65536,0.01289
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,131072,0.01298
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,262144,0.01323
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,524288,0.0133
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,1048576,0.01465
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,2097152,0.01798
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,4194304,0.025029999999999997
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,8388608,0.051680000000000004
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,16777216,0.05809
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,33554432,0.07063
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,67108864,0.1074
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,134217728,0.1974
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,half,4,268435456,0.3719
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,512,0.005825
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,1024,0.01165
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,2048,0.01163
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,4096,0.01174
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,8192,0.01172
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,16384,0.01197
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,32768,0.01256
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,65536,0.01259
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,131072,0.01284
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,262144,0.01316
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,524288,0.013250000000000001
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,1048576,0.01347
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,2097152,0.01478
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,4194304,0.01787
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,8388608,0.024950000000000003
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,16777216,0.05154
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,33554432,0.05793
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,67108864,0.07042
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,134217728,0.1076
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,268435456,0.1974
TRTLLM,2.27.7,NVIDIA GB300,all_gather,NCCL,int8,4,536870912,0.3718
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,256,0.005295
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,512,0.01059
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,1024,0.01058
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,2048,0.01056
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,4096,0.01057
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,8192,0.01069
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,16384,0.01098
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,32768,0.01174
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,65536,0.01171
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,131072,0.01208
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,262144,0.012029999999999902
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,524288,0.013150000000000002
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,1048576,0.01585
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,2097152,0.02144
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,4194304,0.02229
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,8388608,0.03097
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,16777216,0.04622
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,33554432,0.07249
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,67108864,0.1232
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,134217728,0.2195
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,4,268435456,0.4112
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,512,0.00525
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,1024,0.0105
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,2048,0.01048
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,4096,0.01045
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,8192,0.0105399999999999
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,16384,0.01063
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,32768,0.01103
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,65536,0.01175
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,131072,0.011730000000000003
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,262144,0.01192
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,524288,0.01223
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,1048576,0.01348
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,2097152,0.01589
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,4194304,0.02136
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,8388608,0.022650000000000003
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,16777216,0.0311299999999999
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,33554432,0.04616
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,67108864,0.07229
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,134217728,0.1229
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,268435456,0.21969999999999998
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,4,536870912,0.411
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,256,0.005865000000000001
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,512,0.011730000000000003
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,1024,0.011679999999999998
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,2048,0.011700000000000002
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,4096,0.01189
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,8192,0.0119499999999999
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,16384,0.01223
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,32768,0.01242
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,65536,0.0127
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,131072,0.01284
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,262144,0.01318
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,524288,0.01326
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,1048576,0.01425
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,2097152,0.01712
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,4194304,0.02384
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,8388608,0.04896
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,16777216,0.05507999999999999
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,33554432,0.07051
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,67108864,0.10779999999999991
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,134217728,0.2028
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,4,268435456,0.384
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,512,0.005855
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,1024,0.01171
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,2048,0.01175
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,4096,0.011679999999999998
